Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,IsSpecialDay,VehicleType,Latitude,Longitude
2016-10-04 07:59:42,61,577,2,low,0,car,28.5,77.15
2016-10-04 08:25:42,64,577,2,average,0,car,28.5,77.15
2016-10-04 08:59:42,80,577,2,low,0,car,28.5,77.15
2016-10-04 09:32:46,107,577,3,low,0,car,28.5,77.15
2016-10-04 09:59:48,150,577,3,low,0,car,28.5,77.15
2016-10-04 10:26:49,177,577,4,low,0,car,28.5,77.15
2016-10-04 10:59:48,219,577,6,average,0,bike,28.5,77.15
2016-10-04 11:25:47,247,577,7,average,0,car,28.5,77.15
2016-10-04 11:59:44,259,577,6,average,0,car,28.5,77.15
2016-10-04 12:29:45,266,577,10,high,0,bike,28.5,77.15
2016-10-04 13:02:48,269,577,9,high,0,car,28.5,77.15
2016-10-04 13:29:45,263,577,9,high,0,car,28.5,77.15
2016-10-04 14:02:47,238,577,5,average,0,car,28.5,77.15
2016-10-04 14:29:49,215,577,4,average,0,car,28.5,77.15
2016-10-04 14:57:13,192,577,4,average,0,car,28.5,77.15
2016-10-04 15:30:14,165,577,3,average,0,cycle,28.5,77.15
2016-10-04 16:04:12,162,577,2,low,0,car,28.5,77.15
2016-10-04 16:31:14,143,577,2,low,0,car,28.5,77.15
2016-10-05 07:57:17,54,577,1,low,0,cycle,28.5,77.15
2016-10-05 08:30:15,59,577,2,average,0,bike,28.5,77.15
2016-10-05 09:04:19,71,577,3,low,0,car,28.5,77.15
2016-10-05 09:30:15,83,577,2,low,0,bike,28.5,77.15
2016-10-05 10:04:15,114,577,3,low,0,car,28.5,77.15
2016-10-05 10:30:17,128,577,4,average,0,bike,28.5,77.15
2016-10-05 11:04:19,148,577,6,average,0,cycle,28.5,77.15
2016-10-05 11:30:18,162,577,6,average,0,bike,28.5,77.15
2016-10-05 12:04:14,178,577,9,high,0,truck,28.5,77.15
2016-10-05 12:30:16,183,577,7,average,0,car,28.5,77.15
2016-10-05 12:57:15,175,577,9,high,0,truck,28.5,77.15
2016-10-05 13:30:19,179,577,8,high,0,car,28.5,77.15
2016-10-05 13:57:20,174,577,6,average,0,bike,28.5,77.15
2016-10-05 14:30:17,158,577,5,average,0,car,28.5,77.15
2016-10-05 14:57:19,145,577,5,average,0,car,28.5,77.15
2016-10-05 15:30:15,129,577,2,low,0,car,28.5,77.15
2016-10-05 16:04:18,121,577,3,low,0,cycle,28.5,77.15
2016-10-05 16:30:17,114,577,2,average,0,car,28.5,77.15
2016-10-06 07:57:25,58,577,2,average,0,bike,28.5,77.15
2016-10-06 08:30:20,63,577,1,low,0,car,28.5,77.15
2016-10-06 08:57:22,70,577,1,low,0,car,28.5,77.15
2016-10-06 09:30:20,95,577,3,average,0,car,28.5,77.15
2016-10-06 10:03:20,135,577,4,low,0,car,28.5,77.15
2016-10-06 10:30:20,160,577,7,high,0,car,28.5,77.15
2016-10-06 10:57:20,177,577,5,average,0,car,28.5,77.15
2016-10-06 11:30:22,191,577,6,average,0,car,28.5,77.15
2016-10-06 12:04:24,199,577,9,high,0,car,28.5,77.15
2016-10-06 12:30:24,206,577,9,high,0,truck,28.5,77.15
2016-10-06 12:57:21,198,577,9,high,0,car,28.5,77.15
2016-10-06 13:30:21,208,577,9,high,0,car,28.5,77.15
2016-10-06 13:57:22,200,577,6,average,0,car,28.5,77.15
2016-10-06 14:30:23,175,577,4,average,0,car,28.5,77.15
2016-10-06 15:04:22,158,577,3,low,0,bike,28.5,77.15
2016-10-06 15:31:22,153,577,3,average,0,car,28.5,77.15
2016-10-06 16:04:23,135,577,2,low,0,cycle,28.5,77.15
2016-10-06 16:30:27,129,577,2,low,0,truck,28.5,77.15
2016-10-07 08:03:27,58,577,2,low,0,car,28.5,77.15
2016-10-07 08:30:27,61,577,2,low,0,car,28.5,77.15
2016-10-07 09:04:13,75,577,3,average,0,car,28.5,77.15
2016-10-07 09:30:27,103,577,2,low,0,car,28.5,77.15
2016-10-07 09:57:27,128,577,3,low,0,car,28.5,77.15
2016-10-07 10:30:27,172,577,5,average,0,car,28.5,77.15
2016-10-07 10:57:30,188,577,5,average,0,cycle,28.5,77.15
2016-10-07 11:30:28,199,577,6,average,0,car,28.5,77.15
